hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
-0.5193,0.6598,0.745,0.6438,-0.4693,0.745,0.4083,-0.0156,-0.3919,-0.4883,-0.2055,0.7089,0.6685,-0.1733,0.7978,-0.1349,0.49,6,0.19,2,0.14,2006,6,1
-1.0186,0.5486,0.7098,1.0459,-0.104,0.7098,0.5001,0.8196,-0.033,0.2969,-0.1442,0.6383,0.7126,-0.1588,0.8226,-0.0849,0.2498,3,0.03,2,0.03,2006,6,2
-0.7695,0.7178,0.7285,0.8532,-0.2298,0.7285,0.748,1.7346,-0.2532,-0.7805,-0.1031,-0.2498,-0.2889,-0.146,-0.3025,-0.0545,0.265,3,0.05,3,0.21,2006,6,3
-0.7993,0.8429,1.0697,1.2461,-0.642,1.0697,0.9853,1.5189,-0.6493,-0.111,-0.0208,0.4305,0.3025,-0.1281,0.3305,0.0118,0.4556,1,0.02,2,0.05,2006,6,4
-0.0527,1.0098,1.0014,0.8804,-0.554,1.0014,1.0166,1.3568,-0.4844,-0.7562,0.077,-0.0649,-0.2684,-0.1071,-0.2796,0.0878,0.5054,9,0.31,8,2.55,2006,6,5
-0.4288,1.0788,1.2118,1.4584,-0.4508,1.2118,1.0713,1.364,-0.5046,-0.872,0.1706,0.4949,0.5453,-0.0845,0.5226,0.1651,0.6122,6,0.15,1,0.02,2006,6,6
-1.0642,0.7676,0.937,1.4437,0.5933,0.937,0.8011,1.765,0.0724,-0.3163,0.0848,-0.0128,-0.1758,-0.0772,-0.1494,0.0923,0.2603,0,0,6,0.17,2006,6,7
-0.4069,0.0197,0.3781,0.7256,3.5913,0.3781,0.4035,2.0245,1.9861,-0.2484,-0.1945,-0.5381,-0.6345,-0.0874,-0.6337,-0.1376,-0.2458,9,0.31,2,0.11,2006,6,8
0.0121,-0.005,0.2674,0.4714,1.8166,0.2674,0.2908,1.1804,1.6346,0.1912,-0.2182,0.2501,0.3168,-0.0891,0.3011,-0.169,-0.1316,24,1.43,10,1.31,2006,6,9
0.6934,-0.1143,-0.0893,-0.2621,-0.498,-0.0893,0.0526,0.223,-0.5015,-0.3183,-0.1969,-0.2995,-0.3675,-0.0799,-0.4084,-0.1522,0.1832,22,1.01,33,1.55,2006,6,10
0.2661,0.049,0.265,0.5053,-0.5522,0.265,0.189,0.4399,-0.4477,-0.4247,-0.1755,0.4436,0.6082,-0.0714,0.5862,-0.1337,0.1762,10,0.22,8,0.2,2006,6,11
-0.3832,-0.2236,0.0703,0.2024,-0.2336,0.0704,0.0249,0.5478,-0.1096,0.6708,-0.1417,0.8564,1.14,-0.0645,1.2354,-0.1077,0.0066,8,0.25,12,5.58,2006,6,12
-0.3316,-0.6249,-0.4385,-0.0428,1.5909,-0.4385,-0.5811,0.2502,0.9908,1.4451,-0.1592,1.113,1.8741,-0.0594,1.9504,-0.1224,-0.6096,11,0.49,17,0.3,2006,6,13
-1.0843,-1.2593,-1.322,-1.1207,2.082,-1.322,-1.2345,0.2304,1.2824,0.662,-0.1964,-1.1456,-1.1178,-0.0646,-1.2263,-0.1609,-0.9465,10,0.26,4,0.66,2006,6,14
-1.1608,-1.1476,-0.9484,-0.62,0.1031,-0.9484,-0.8574,0.6283,0.1717,-0.371,-0.2013,-0.9245,-0.9799,-0.0648,-1.0838,-0.1712,-0.6187,13,0.3,4,0.23,2006,6,15
1.0086,0.0613,-0.2018,-0.2488,-0.4477,-0.2018,-0.1827,0.477,-0.3627,0.0142,-0.1794,-0.5368,-0.6637,-0.0609,-0.7029,-0.1576,0.0456,1,0.04,2,0.04,2006,6,16
1.4659,0.5954,0.641,0.6314,-0.4981,0.641,0.5464,0.4183,-0.4689,-1.0052,-0.1486,-0.5513,-0.7782,-0.0552,-0.8029,-0.1361,0.3024,1,0.02,5,0.26,2006,6,17
1.6503,0.7015,0.7628,0.6597,-0.5121,0.7628,0.5841,0.2609,-0.4383,-0.583,-0.1162,0.3741,0.3212,-0.049,0.3327,-0.1118,0.3915,0,0,3,0.1,2006,6,18
1.3526,0.2543,0.2984,0.2173,-0.535,0.2984,0.2852,0.2162,-0.4768,0.6412,-0.101,0.629,0.7952,-0.0468,0.8216,-0.1042,0.2998,6,0.15,12,8.79,2006,6,19
1.6208,0.2349,0.1847,0.0176,-0.3882,0.1847,0.2657,0.0797,-0.3413,-0.2963,-0.0821,-0.3738,-0.5006,-0.0415,-0.5525,-0.0919,0.3396,13,0.57,31,9.16,2006,6,20
1.9222,0.445,0.4008,0.2023,-0.5351,0.4008,0.4395,-0.2185,-0.5198,-0.6752,-0.0476,-0.3082,-0.5129,-0.0374,-0.5273,-0.0675,0.5245,0,0,13,6.62,2006,6,21
1.8891,1.1048,0.786,0.5849,-0.4715,0.786,0.8334,-0.4076,-0.4864,-1.127,-0.0124,-0.6997,-0.8751,-0.0329,-0.9117,-0.0438,0.9074,3,0.14,11,0.76,2006,6,22
1.2644,1.618,1.5372,1.3225,-0.6108,1.5371,1.3167,-0.0463,-0.5515,-1.9778,0.0151,-0.5361,-0.7194,-0.0274,-0.7788,-0.0259,1.0088,0,0,2,0.07,2006,6,23
0.5374,1.7018,1.727,1.5883,-0.4277,1.727,1.6242,0.3673,-0.4055,-1.683,0.0674,-0.6152,-0.7919,-0.0202,-0.8476,0.0119,0.9012,1,0.01,3,0.04,2006,6,24
-0.8492,1.7213,1.9754,2.1155,-0.3958,1.9754,1.9222,0.6936,-0.4675,-1.155,0.1268,-0.3702,-0.6151,-0.0053,-0.6559,0.0631,0.8164,1,0.01,1,0.49,2006,6,25
-1.2769,1.4574,1.7883,2.0434,-0.099,1.7883,1.8837,1.3375,-0.3909,-1.2709,0.1952,-0.2543,-0.4784,0.0044,-0.5161,0.1178,0.7083,44,2.87,29,1.21,2006,6,26
-1.6756,0.8975,1.4083,2.0557,3.3046,1.4083,1.3815,1.9982,0.9138,-1.157,0.0422,-0.3262,-0.4817,0.0099,-0.5488,-0.0177,0.1659,76,8.54,77,4.57,2006,6,27
-2.0442,0.3279,0.6684,1.5628,3.5044,0.6684,0.6643,3.0489,2.6874,-1.2844,-0.1334,-1.8049,-1.7216,-0.0023,-1.7705,-0.1723,-0.6191,23,1.04,21,1.95,2006,6,28
-0.5528,0.3129,0.6041,1.0335,1.6695,0.6041,0.7882,2.5467,0.5636,-1.7822,-0.1495,-1.2976,-1.4721,0.0097,-1.532,-0.1738,-0.1488,32,5.69,32,2,2006,6,29
-0.2476,0.4201,0.7832,1.0018,-0.417,0.7832,0.9557,1.534,-0.407,-1.2686,-0.0942,-0.8441,-1.0182,0.0168,-1.0708,-0.1244,0.0041,20,0.91,22,1.49,2006,6,30
-0.1725,0.4642,0.7248,0.8865,-0.3499,0.7248,0.8645,1.3828,-0.4185,-1.0982,-0.3001,-0.6298,-0.7797,0.0155,-0.8291,-0.3063,-0.1349,34,2.17,50,2.32,2006,7,1
-0.4758,0.3431,0.6842,0.7722,-0.1557,0.6842,0.7035,1.1089,-0.177,-0.2905,-0.3078,-0.1337,-0.269,0.0194,-0.3021,-0.31,-0.1047,28,1.54,37,14.36,2006,7,2
-0.7339,0.2414,0.4744,0.6579,1.6724,0.4745,0.4849,1.3303,1.0804,-0.5961,-0.4125,-0.8163,-0.882,0.0031,-0.9524,-0.4159,-0.6249,4,0.09,14,0.63,2006,7,3
-1.6608,-0.2089,0.2031,0.7305,1.0217,0.2031,0.1118,1.5186,1.0887,-0.7005,-0.5085,-1.1635,-0.9793,-0.0157,-1.0404,-0.5095,-1.8274,13,2.14,10,0.26,2006,7,4
-1.4997,-0.6921,-0.2003,0.2972,1.222,-0.2003,-0.1149,1.5515,1.5314,-0.4672,-0.5464,-1.151,-1.1692,-0.0278,-1.2258,-0.5524,-1.4356,12,0.36,12,0.67,2006,7,5
-0.7697,-0.993,-0.4609,-0.0937,2.6882,-0.4609,-0.4073,1.0938,1.5777,0.3875,-0.6399,-0.7638,-0.7684,-0.0493,-0.7938,-0.6551,-1.1811,7,0.11,20,1.37,2006,7,6
0.2447,0.1079,-0.306,-0.5046,-0.1644,-0.306,-0.2743,0.2247,-0.1595,-0.8137,-0.5712,-0.9487,-0.9299,-0.0464,-0.9468,-0.5898,-0.289,19,0.68,8,0.67,2006,7,7
-0.28,0.5285,0.6945,0.8609,-0.2283,0.6945,0.7049,0.642,-0.3361,-1.4825,-0.5335,-1.035,-1.1906,-0.0343,-1.1938,-0.5448,0.1949,21,1.29,20,0.61,2006,7,8
-0.7804,0.3787,0.7486,1.0141,0.4727,0.7486,0.9199,1.1975,0.3806,-1.5534,-0.542,-1.2542,-1.3214,-0.0585,-1.3387,-0.5561,0.0319,21,2.07,8,0.73,2006,7,9
-0.4696,0.4408,0.6564,0.655,0.4633,0.6564,0.8088,1.2301,0.3032,-0.8556,-0.512,-0.3931,-0.554,-0.0519,-0.5559,-0.5216,0.0885,27,1.95,29,12.16,2006,7,10
0.6748,0.1276,0.5206,0.4676,-0.4024,0.5207,0.4569,0.3559,-0.4416,0.6659,-0.4593,1.1973,1.1326,-0.0435,1.193,-0.4663,0.2097,25,9.71,81,45.25,2006,7,11
0.897,-0.1749,-0.2409,-0.322,-0.3993,-0.2409,-0.255,-0.5616,-0.3494,1.6156,-0.3865,1.0362,1.1219,-0.0328,1.1589,-0.3943,0.2381,140,30.42,146,44.98,2006,7,12
1.3555,0.4263,0.118,0.0141,-0.3411,0.118,0.0628,-0.5467,-0.3261,-0.3214,-0.2772,0.1086,-0.0255,-0.0003,-0.0324,-0.2814,0.5763,96,35.45,106,11.61,2006,7,13
1.3322,0.8822,0.8276,0.6301,-0.3833,0.8276,0.5666,-0.7063,-0.4059,-0.9287,-0.2068,0.3218,0.1643,0.0283,0.1417,-0.2042,0.7428,82,11.52,58,37.77,2006,7,14
1.0948,1.3044,1.1523,0.8082,-0.5138,1.1523,1.0533,-0.4737,-0.529,-0.6941,-0.307,0.2995,0.1839,0.0268,0.179,-0.2828,0.8278,71,4.42,100,7.04,2006,7,15
0.2797,1.4668,1.426,1.2571,-0.4504,1.426,1.3688,-0.0591,-0.5121,-1.1419,-0.2508,-0.3025,-0.4884,0.0371,-0.5484,-0.226,1.0249,51,3.26,22,2.05,2006,7,16
-0.3197,1.577,1.4039,1.2669,-0.2692,1.4039,1.4186,0.5825,-0.391,-0.8837,-0.245,-0.4455,-0.6089,0.0486,-0.665,-0.2239,0.8025,28,2.32,25,0.99,2006,7,17
-1.2378,1.2615,1.2605,1.417,4.0448,1.2605,1.2588,1.3497,2.5847,-0.7221,-0.1589,-0.228,-0.4079,0.0773,-0.458,-0.137,0.3844,25,3.46,23,17,2006,7,18
-1.8077,0.8965,1.3092,1.7418,0.2249,1.3092,1.3114,1.7906,0.1284,-1.0427,-0.1376,-0.5713,-0.7257,0.0959,-0.7868,-0.1073,-0.0965,28,2.24,11,0.58,2006,7,19
-1.6808,1.0332,1.4822,1.8141,0.5955,1.4822,1.5804,1.7257,0.2621,-2.1111,-0.1169,-1.1503,-1.2828,0.0903,-1.3203,-0.0931,-0.0892,6,0.22,1,0.01,2006,7,20
-1.6497,1.5339,1.8486,2.1437,0.103,1.8486,1.9492,1.6776,0.1581,-1.6766,-0.0197,-0.5376,-0.6947,0.1356,-0.751,0.0086,0.1422,36,3.35,27,4.36,2006,7,21
-0.7835,1.9442,2.2501,2.4501,-0.0874,2.2501,2.2906,1.7743,-0.352,-2.1097,0.0292,-0.3734,-0.5936,0.1778,-0.6449,0.0713,0.3911,6,0.06,4,0.1,2006,7,22
-1.0754,1.9112,2.412,2.6744,0.1812,2.412,2.4102,1.6265,-0.0173,-1.6461,-0.2576,-0.5583,-0.6979,0.1902,-0.7566,-0.1759,0.145,44,5,24,5.26,2006,7,23
-0.8915,2.0842,2.5086,2.5723,0.1898,2.5087,2.588,1.8771,0.3322,-1.1198,-0.2484,-0.7068,-0.7699,0.2311,-0.8349,-0.1499,-0.0154,63,9.14,45,2.5,2006,7,24
