hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
-0.0012,-0.2827,0.0205,0.2387,-0.1928,0.0205,0.0543,1.3504,-0.1744,0.9686,-0.4858,-0.1653,-0.1455,-1.5651,-0.0372,-0.7559,-0.1245,11,0.77,23,0.77,2005,6,1
0.937,-0.6748,-0.5507,-0.6686,-0.488,-0.5507,-0.474,0.3769,-0.4662,1.2339,-0.437,-0.2465,-0.3071,-1.5473,-0.1988,-0.7083,0.1648,6,0.16,5,0.26,2005,6,2
0.6893,-0.6392,-0.7378,-0.8248,-0.3674,-0.7378,-0.6225,-0.0778,-0.3418,0.646,-0.4298,-0.9614,-1.2009,-1.5354,-1.0776,-0.6948,0.1626,26,1.01,38,1.68,2005,6,3
1.2845,-0.3969,-0.3575,-0.5321,-0.7098,-0.3575,-0.3815,-0.1119,-0.7241,-1.5295,-0.3714,-0.6964,-0.9069,-1.5178,-0.8046,-0.6471,0.4068,23,0.99,16,1.66,2005,6,4
0.4113,-0.5635,-0.4635,-0.4192,-0.2184,-0.4635,-0.5539,0.1712,-0.25,1.4679,-0.3029,0.8985,1.0436,-1.4923,1.1843,-0.5831,0.2258,22,0.44,16,0.44,2005,6,5
0.2208,-1.1397,-1.1448,-1.3046,-0.0309,-1.1448,-1.1162,-0.9036,-0.0694,0.9682,-0.2699,-0.0647,-0.141,-1.4862,-0.0867,-0.555,-0.0601,12,0.44,25,2.68,2005,6,6
-0.3409,-1.4796,-1.5014,-1.5872,0.1068,-1.5014,-1.4325,-1.0426,-0.0359,0.7597,-0.2914,-0.7242,-0.7851,-1.4841,-0.7776,-0.5722,-0.4019,7,0.13,4,0.13,2005,6,7
-0.3026,-1.6699,-1.4336,-1.0566,0.6417,-1.4336,-1.5403,-0.5018,1.4759,-0.3013,-0.403,-0.9288,-0.6781,-1.4956,-0.7814,-0.6664,-2.1822,3,0.02,13,1.73,2005,6,8
-1.6495,-1.5702,-1.2278,-0.5757,1.6978,-1.2278,-1.1924,1.0536,2.8627,-0.6321,-0.5156,-1.5927,-1.3057,-1.5237,-1.475,-0.7619,-3.096,0,0,0,0,2005,6,9
-1.1979,-1.1641,-0.9349,-0.6183,-0.2072,-0.9349,-0.7911,1.1182,-0.1762,-1.2319,-0.508,-1.5512,-1.3067,-1.5166,-1.4003,-0.7484,-1.3086,5,0.34,10,0.25,2005,6,10
-1.048,-1.1881,-0.7548,-0.4419,1.1162,-0.7548,-0.6501,1.4034,1.058,-0.5179,-0.6078,-1.8548,-1.6354,-1.5158,-1.7197,-0.8237,-1.4087,6,0.17,0,0,2005,6,11
0.1241,-0.594,-0.685,-0.8967,-0.4858,-0.685,-0.6211,0.8541,-0.4673,-0.1973,-0.5826,-0.9704,-0.963,-1.5028,-0.9221,-0.8015,-0.298,12,0.24,5,0.25,2005,6,12
1.558,0.2973,-0.0023,-0.2156,-0.4665,-0.0023,-0.0193,0.21,-0.4179,-0.9989,-0.5415,-1.0118,-1.0628,-1.4893,-0.9974,-0.7616,0.2169,3,0.05,4,0.21,2005,6,13
-0.4947,0.3773,0.5779,0.7706,-0.4423,0.578,0.2586,0.8404,-0.406,-0.4619,-0.5054,0.3227,0.3401,-1.4766,0.5825,-0.73,0.1823,12,0.27,7,0.28,2005,6,14
0.3551,0.0836,0.1488,0.1228,-0.1294,0.1488,0.0875,0.9753,-0.2171,0.3665,-0.4757,-0.0092,-0.0431,-1.4649,0.1141,-0.7027,0.1957,8,0.22,22,1.04,2005,6,15
-1.3861,-0.4391,-0.3291,0.0017,1.831,-0.3291,-0.5289,0.4151,1.2854,1.3962,-0.4806,0.8256,1.1436,-1.463,1.3781,-0.7032,-0.7022,11,0.36,3,0.3,2005,6,16
-1.5441,-1.8561,-1.6136,-1.0696,3.0709,-1.6137,-1.6666,0.4289,4.0015,2.9035,-0.5792,-0.0413,0.5188,-1.4913,0.5958,-0.7925,-2.6686,4,0.03,3,0.04,2005,6,17
-0.9671,-2.6385,-2.4172,-2.1065,0.7018,-2.4172,-2.2808,-0.0637,1.9935,1.1329,-0.5937,-0.8232,-0.4943,-1.5059,-0.5438,-0.8112,-2.9376,4,0.09,0,0,2005,6,18
-0.0936,-1.608,-1.7034,-1.6704,0.2249,-1.7034,-1.8155,-0.0929,0.7917,0.3568,-0.5964,-0.1152,0.3805,-1.5084,0.5472,-0.8151,-2.1258,11,0.43,6,0.39,2005,6,19
