"Date","Time","FP_latitude","FP_longitude","FP_power"
"2003-01-03","21:00",34.60143,-117.3407,6.88
"2003-01-03","21:00",35.35491,-118.98192,2.851
"2003-01-05","20:50",34.59923,-117.33814,5.733
"2003-01-06","10:30",33.94864,-117.63927,52.652
"2003-01-06","10:30",33.93847,-117.59889,262.596
"2003-01-06","10:30",33.93431,-117.60923,273.929
"2003-01-06","21:30",33.39139,-118.42327,17.884
"2003-01-06","21:30",33.38958,-118.44381,25.102
"2003-01-06","21:30",33.39338,-118.42996,29.031
"2003-01-06","21:30",33.93573,-117.60671,27.257
"2003-01-06","21:30",33.93377,-117.63228,74.178
"2003-01-06","21:30",33.95506,-117.531,60.883
"2003-01-06","21:30",33.95309,-117.55672,63.849
"2003-01-07","09:35",34.05174,-118.87674,10.463
"2003-01-07","09:35",34.0502,-118.86356,15.556
"2003-01-07","20:35",36.07635,-121.00155,11.502
"2003-01-08","21:20",39.47287,-123.67383,12.979
"2003-01-10","21:05",32.74059,-115.46878,48.446
"2003-01-12","20:55",34.9812,-118.85081,4.168
"2003-01-12","20:55",34.97933,-118.86237,5.553
"2003-01-12","20:55",36.28543,-119.22006,5.279
"2003-01-14","20:40",33.30128,-116.9778,7.651
"2003-01-14","20:40",33.69255,-116.13934,13.114
"2003-01-14","20:40",33.6905,-116.15156,5.932
"2003-01-14","20:40",34.86816,-114.56985,11.654
"2003-01-14","20:40",34.86652,-114.58079,16.834
"2003-01-16","09:30",32.54643,-116.99666,9.183
"2003-01-16","09:30",32.54402,-117.00429,8.988
"2003-01-16","20:30",32.67121,-115.32037,17.685
"2003-01-17","21:10",32.51839,-114.84612,11.587
"2003-01-17","21:10",34.08709,-117.5308,6.864
"2003-01-17","21:15",38.53594,-122.48074,4.526
"2003-01-20","21:45",39.37832,-121.26949,18.24
"2003-01-20","21:45",39.38526,-121.27947,40.412
"2003-01-21","20:45",32.65267,-114.93141,29.697
"2003-01-21","20:45",32.65114,-114.94195,16.83
"2003-01-21","20:45",32.6105,-116.78611,7.821
"2003-01-21","20:45",32.82105,-116.50381,9.857
"2003-01-21","20:50",33.81501,-114.46819,6.824
"2003-01-21","20:50",33.69135,-116.14063,6.767
"2003-01-21","20:50",34.08859,-117.53485,7.69
"2003-01-21","20:50",34.6666,-118.98299,20.051
"2003-01-23","20:35",35.17889,-114.5643,14.467
"2003-01-23","20:35",35.17696,-114.57613,36.907
"2003-01-26","21:05",34.6032,-117.34002,6.644
"2003-01-26","21:05",34.40738,-119.52206,5.037
"2003-01-27","20:10",33.09582,-116.45763,50.047
"2003-01-27","20:10",33.08863,-116.45883,53.669
"2003-01-28","20:55",32.59525,-116.80756,8.068
"2003-01-28","20:55",38.7194,-119.79405,8.199
"2003-01-28","20:55",38.72848,-119.79636,11.545
"2003-01-29","20:00",33.45551,-114.68459,149.081
"2003-01-29","20:00",33.45753,-114.69047,180.584
"2003-01-29","20:00",38.31471,-115.17133,67.626
"2003-01-29","21:35",33.6361,-116.12434,40.881
"2003-01-29","21:35",34.38424,-118.89038,20.228
"2003-01-29","21:40",38.31024,-115.17741,25.311
"2003-01-29","21:40",38.31021,-115.1871,36.823
"2003-01-30","20:40",33.55469,-116.01204,9.56
"2003-01-30","20:40",33.55529,-116.02457,8.876
"2003-01-30","20:40",33.55419,-116.01935,14.633
"2003-01-30","20:40",33.5065,-114.68824,15.137
"2003-01-30","20:40",34.41027,-119.09708,14.892
"2003-01-30","20:40",34.42168,-119.09608,14.778
"2003-01-30","20:40",34.65723,-118.98165,20.212
"2003-01-30","20:40",34.68016,-118.99978,60.383
"2003-01-30","20:40",34.6806,-119.01938,16.494
"2003-02-02","21:10",34.08857,-117.53824,8.535
"2003-02-02","21:15",36.65791,-120.04918,6.74
"2003-02-02","21:15",36.66708,-120.05099,6.557
"2003-02-02","21:15",37.47746,-120.74504,4.05
"2003-02-02","21:15",37.58039,-121.00888,4.301
"2003-02-03","20:15",33.2933,-116.36378,47.701
"2003-02-03","20:15",33.29633,-116.37152,40.369
"2003-02-04","21:00",34.60059,-117.34125,6.773
"2003-02-04","21:00",34.59964,-120.29266,4.432
"2003-02-04","21:00",35.99991,-119.55168,3.462
"2003-02-04","21:00",35.97757,-121.15168,42.719
"2003-02-04","21:00",35.97556,-121.16382,7.304
"2003-02-04","21:00",35.98688,-121.15393,36.06
"2003-02-04","21:00",35.98487,-121.16614,29.05
"2003-02-04","21:00",36.60986,-119.60978,7.456
"2003-02-04","21:00",36.64619,-119.98425,10.013
"2003-02-04","21:00",36.66446,-120.04707,10.109
"2003-02-04","21:00",37.97713,-121.4642,4.661
"2003-02-05","20:05",32.84049,-115.64218,81.472
"2003-02-05","20:05",32.83044,-115.68404,38.812
"2003-02-05","20:05",32.82868,-115.6459,80.401
"2003-02-05","20:05",33.10094,-115.4436,95.534
"2003-02-05","20:05",33.09119,-115.48376,32.688
"2003-02-05","20:05",33.11682,-115.44923,728.898
"2003-02-05","20:05",33.10711,-115.48943,167.745
"2003-02-05","20:05",33.10646,-115.45034,683.247
"2003-02-05","20:05",33.09649,-115.49041,70.059
"2003-02-06","20:45",33.44819,-114.70872,10.706
"2003-02-06","20:45",33.44669,-114.71934,105.361
"2003-02-06","20:45",33.47338,-114.7248,17.374
"2003-02-06","20:45",33.56421,-114.67361,9.232
"2003-02-06","20:45",33.55195,-116.0174,9.6
"2003-02-06","20:45",33.56093,-116.01937,17.142
"2003-02-06","20:50",34.60196,-117.342,6.211
"2003-02-06","20:50",34.46463,-119.23725,7.713
"2003-02-06","20:50",35.12572,-119.29519,7.202
"2003-02-06","20:50",35.12326,-119.30906,8.537
"2003-02-06","20:50",35.61137,-119.29778,8.704
"2003-02-06","20:50",35.85465,-118.73235,6.277
"2003-02-06","20:50",36.4892,-119.82421,21.747
"2003-02-06","20:50",36.66591,-120.05215,9.973
"2003-02-06","20:50",38.96814,-123.03528,12.545
"2003-02-07","21:30",33.55505,-116.03025,55.379
